"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_51","2020",57.15,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_52","2020",53.99,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_53","2020",56.56,"U","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_54","2020",68.02,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_61","2020",40.75,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_62","2020",46.56,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_63","2020",37.83,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_71","2020",42.16,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_72","2020",49.29,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_73","2020",52.64,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_74","2020",60.57,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_75","2020",50.62,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_81","2020",42.96,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_82","2020",,"U","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_83","2020",49.5,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_91","2020",50.14,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_92","2020",33.49,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_93","2020",40.42,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_94","2020",77.34,"U","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_95","2020",43.26,"B","T11:142_I11:264","R1:3513"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_96","2020",38.46,"B","T11:142_I11:264","R1:3513"
